"_source/@timestamp","_source/netflow/tcp_flags","_source/netflow/flowset_id","_source/netflow/l4_src_port","_source/netflow/last_switched","_source/netflow/ipv4_dst_addr","_source/netflow/first_switched","_source/netflow/version","_source/netflow/protocol","_source/netflow/output_snmp","_source/netflow/in_bytes","_source/netflow/flow_seq_num","_source/netflow/l4_dst_port","_source/netflow/ipv4_src_addr","_source/netflow/input_snmp","_source/netflow/ip_protocol_version","_source/netflow/in_pkts","_source/host","_source/netflow/ipv6_src_addr","_source/netflow/ipv6_dst_addr","Anomaly"
2018-04-05 12:51:01,27,1024,33452,2018-04-05 12:45:44,"192.168.1.108",2018-04-05 12:45:32,9,6,0,2374,257,22,"192.168.1.102",0,4,19,"127.0.0.1",NA,NA,1
2018-04-05 12:51:01,27,1024,22,2018-04-05 12:45:02,"192.168.1.102",2018-04-05 12:44:49,9,6,0,3225,245,33434,"192.168.1.108",0,4,26,"127.0.0.1",NA,NA,0
2018-04-05 12:51:01,27,1024,22,2018-04-05 12:45:25,"192.168.1.102",2018-04-05 12:45:12,9,6,0,3173,251,33444,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:54:01,27,1024,22,2018-04-05 12:49:00,"192.168.1.102",2018-04-05 12:48:48,9,6,0,3173,311,33528,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:54:01,27,1024,42254,2018-04-05 12:48:33,"192.168.1.108",2018-04-05 12:48:30,9,6,0,1969,304,22,"192.168.1.100",0,4,15,"127.0.0.1",NA,NA,0
2018-04-05 12:54:01,27,1024,22,2018-04-05 12:48:33,"192.168.1.100",2018-04-05 12:48:30,9,6,0,2769,304,42254,"192.168.1.108",0,4,16,"127.0.0.1",NA,NA,0
2018-04-05 12:49:01,27,1024,443,2018-04-05 12:46:37,"192.168.1.108",2018-04-05 12:39:19,9,6,0,17941,201,35860,"151.101.36.133",0,4,26,"127.0.0.1",NA,NA,0
2018-04-05 12:49:01,27,1024,33404,2018-04-05 12:43:42,"192.168.1.108",2018-04-05 12:43:28,9,6,0,2310,207,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:49:01,27,1024,443,2018-04-05 12:46:37,"192.168.1.108",2018-04-05 12:39:18,9,6,0,4093,195,35840,"151.101.36.133",0,4,19,"127.0.0.1",NA,NA,0
2018-04-05 12:53:01,27,1024,22,2018-04-05 12:47:20,"192.168.1.102",2018-04-05 12:47:08,9,6,0,3173,283,33488,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:53:01,27,1024,22,2018-04-05 12:48:00,"192.168.1.102",2018-04-05 12:47:48,9,6,0,3173,295,33504,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:54:01,27,1024,22,2018-04-05 12:48:20,"192.168.1.102",2018-04-05 12:48:08,9,6,0,3173,298,33512,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:46:01,0,1024,56470,2018-04-05 12:40:32,"239.255.255.250",2018-04-05 12:40:29,9,17,0,800,140,1900,"192.168.1.111",0,4,4,"127.0.0.1",NA,NA,0
2018-04-05 12:46:01,27,1024,22,2018-04-05 12:40:04,"192.168.1.102",2018-04-05 12:39:51,9,6,0,3173,134,33314,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:46:01,27,1024,33342,2018-04-05 12:40:59,"192.168.1.108",2018-04-05 12:40:49,9,6,0,2310,147,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:46:01,27,1024,33316,2018-04-05 12:40:04,"192.168.1.108",2018-04-05 12:39:51,9,6,0,2310,134,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:46:01,27,1024,42189,2018-04-05 12:40:41,"192.168.1.108",2018-04-05 12:40:38,9,6,0,1905,147,22,"192.168.1.100",0,4,14,"127.0.0.1",NA,NA,0
2018-04-05 12:46:01,27,1024,22,2018-04-05 12:40:40,"192.168.1.102",2018-04-05 12:40:30,9,6,0,3173,140,33328,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:46:01,27,1024,22,2018-04-05 12:40:04,"192.168.1.102",2018-04-05 12:39:51,9,6,0,3173,134,33316,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:46:01,27,1024,22,2018-04-05 12:40:59,"192.168.1.102",2018-04-05 12:40:48,9,6,0,3173,147,33338,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:46:01,0,1024,37271,2018-04-05 12:40:07,"216.58.206.206",2018-04-05 12:36:24,9,17,0,30227,134,443,"192.168.1.108",0,4,72,"127.0.0.1",NA,NA,0
2018-04-05 12:46:01,27,1024,22,2018-04-05 12:40:59,"192.168.1.102",2018-04-05 12:40:48,9,6,0,3173,147,33340,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:44:01,0,1024,443,2018-04-05 12:38:45,"192.168.1.108",2018-04-05 12:38:45,9,17,0,1558,112,57631,"172.217.17.163",0,4,4,"127.0.0.1",NA,NA,0
2018-04-05 12:44:01,27,1024,33274,2018-04-05 12:38:25,"192.168.1.108",2018-04-05 12:38:12,9,6,0,2310,91,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:44:01,0,1024,34777,2018-04-05 12:38:32,"239.255.255.250",2018-04-05 12:38:29,9,17,0,800,97,1900,"192.168.1.108",0,4,4,"127.0.0.1",NA,NA,0
2018-04-05 12:44:01,0,1024,53,2018-04-05 12:38:45,"192.168.1.111",2018-04-05 12:37:55,9,17,0,238,97,56689,"8.8.4.4",0,4,2,"127.0.0.1",NA,NA,0
2018-04-05 12:44:01,27,1024,33284,2018-04-05 12:38:45,"192.168.1.108",2018-04-05 12:38:32,9,6,0,2310,106,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:44:01,0,1024,34893,2018-04-05 12:38:45,"172.217.169.131",2018-04-05 12:38:45,9,17,0,1514,112,443,"192.168.1.108",0,4,3,"127.0.0.1",NA,NA,0
2018-04-05 12:44:01,27,1024,33286,2018-04-05 12:38:45,"192.168.1.108",2018-04-05 12:38:33,9,6,0,2310,106,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:44:01,0,1024,443,2018-04-05 12:38:46,"192.168.1.108",2018-04-05 12:38:45,9,17,0,8338,112,44080,"216.58.214.228",0,4,12,"127.0.0.1",NA,NA,0
2018-04-05 12:44:01,0,1024,443,2018-04-05 12:38:45,"192.168.1.108",2018-04-05 12:38:45,9,17,0,1558,112,34893,"172.217.169.131",0,4,4,"127.0.0.1",NA,NA,0
2018-04-05 12:44:01,27,1024,33264,2018-04-05 12:38:04,"192.168.1.108",2018-04-05 12:37:51,9,6,0,2310,91,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:44:01,0,1024,44656,2018-04-05 12:38:45,"172.217.17.163",2018-04-05 12:38:45,9,17,0,4270,112,443,"192.168.1.108",0,4,5,"127.0.0.1",NA,NA,0
2018-04-05 12:44:01,27,1024,33270,2018-04-05 12:38:05,"192.168.1.108",2018-04-05 12:37:51,9,6,0,2310,91,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:45:01,27,1024,22,2018-04-05 12:39:04,"192.168.1.102",2018-04-05 12:38:53,9,6,0,3173,118,33290,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:45:01,27,1024,22,2018-04-05 12:39:43,"192.168.1.102",2018-04-05 12:39:32,9,6,0,3173,124,33304,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:45:01,0,1024,40710,2018-04-05 12:39:35,"172.217.169.142",2018-04-05 12:39:18,9,17,0,2348,124,443,"192.168.1.108",0,4,7,"127.0.0.1",NA,NA,0
2018-04-05 12:45:01,20,1024,36962,2018-04-05 12:43:01,"162.125.66.3",2018-04-05 12:43:01,9,6,0,52,130,443,"192.168.1.108",0,4,1,"127.0.0.1",NA,NA,0
2018-04-05 12:42:01,0,1024,443,2018-04-05 12:36:25,"192.168.1.108",2018-04-05 12:36:24,9,17,0,4443,33,49279,"172.217.169.142",0,4,8,"127.0.0.1",NA,NA,0
2018-04-05 12:42:01,0,1024,49279,2018-04-05 12:36:25,"172.217.169.142",2018-04-05 12:36:24,9,17,0,4352,33,443,"192.168.1.108",0,4,6,"127.0.0.1",NA,NA,0
2018-04-05 12:42:01,0,1024,443,2018-04-05 12:36:25,"192.168.1.108",2018-04-05 12:36:24,9,17,0,2936,33,48231,"216.58.212.3",0,4,5,"127.0.0.1",NA,NA,0
2018-04-05 12:42:01,0,1024,443,2018-04-05 12:36:25,"192.168.1.108",2018-04-05 12:36:24,9,17,0,7123,33,47883,"172.217.7.195",0,4,9,"127.0.0.1",NA,NA,0
2018-04-05 12:47:01,27,1024,33362,2018-04-05 12:41:56,"192.168.1.108",2018-04-05 12:41:46,9,6,0,2310,161,22,"192.168.1.102",0,4,18,"127.0.0.1",NA,NA,1
2018-04-05 12:47:01,27,1024,22,2018-04-05 12:41:37,"192.168.1.102",2018-04-05 12:41:26,9,6,0,3173,161,33354,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:47:01,27,1024,22,2018-04-05 12:41:20,"192.168.1.102",2018-04-05 12:41:08,9,6,0,3173,155,33350,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
2018-04-05 12:47:01,27,1024,22,2018-04-05 12:41:18,"192.168.1.102",2018-04-05 12:41:07,9,6,0,3173,155,33348,"192.168.1.108",0,4,25,"127.0.0.1",NA,NA,0
