"_source/host","_source/@timestamp","_source/netflow/in_pkts","_source/netflow/input_snmp","_source/netflow/output_snmp","_source/netflow/l4_dst_port","_source/netflow/in_bytes","_source/netflow/protocol","_source/netflow/version","_source/netflow/flowset_id","_source/netflow/ip_protocol_version","_source/netflow/ipv4_src_addr","_source/netflow/ipv4_dst_addr","_source/netflow/last_switched","_source/netflow/first_switched","_source/netflow/flow_seq_num","_source/netflow/l4_src_port","_source/netflow/tcp_flags","_source/@version","_source/netflow/ipv6_src_addr","_source/netflow/ipv6_dst_addr","Anomaly"
"127.0.0.1",2018-04-25 05:26:01,149,0,0,443,15398,17,9,1024,4,"192.168.1.108","74.125.154.72",2018-04-25 05:20:02,2018-04-25 05:19:31,3032,42543,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:24:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.109","239.255.255.250",2018-04-25 05:18:45,2018-04-25 05:18:42,3027,46467,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:30:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-25 05:24:47,2018-04-25 05:24:44,3046,38735,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:28:01,4,0,0,1900,800,17,9,1024,4,"192.168.1.108","239.255.255.250",2018-04-25 05:22:47,2018-04-25 05:22:44,3039,34809,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:29:01,403,0,0,59320,551388,17,9,1024,4,"74.125.154.72","192.168.1.108",2018-04-25 05:23:32,2018-04-25 05:23:32,3043,443,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:32:01,24,0,0,50558,15887,6,9,1024,4,"91.189.92.20","192.168.1.108",2018-04-25 05:29:42,2018-04-25 05:27:38,3061,443,31,1,NA,NA,0
"127.0.0.1",2018-04-25 05:28:01,9,0,0,58690,4309,6,9,1024,4,"162.125.34.6","192.168.1.108",2018-04-25 05:25:37,2018-04-25 05:10:16,3039,443,27,1,NA,NA,0
"127.0.0.1",2018-04-25 05:31:01,1,0,0,5353,146,17,9,1024,4,"192.168.1.111","224.0.0.251",2018-04-25 05:25:02,2018-04-25 05:25:02,3050,5353,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:41:01,101,0,0,443,27752,17,9,1024,4,"192.168.1.108","216.58.206.206",2018-04-25 05:35:41,2018-04-25 05:26:50,3102,50541,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:41:01,2,0,0,138,481,17,9,1024,4,"192.168.1.1","192.168.1.255",2018-04-25 05:35:50,2018-04-25 05:35:50,3102,138,0,1,NA,NA,0
"127.0.0.1",2018-04-25 05:39:01,7,0,0,60462,2282,17,9,1024,4,"172.217.169.142","192.168.1.108",2018-04-25 05:33:50,2018-04-25 05:33:50,3097,443,0,1,NA,NA,0
